index	id	title	top_png	bottom_png
93	load_camera	扫码	v20260521_124238_093_load_camera_top.png	v20260521_124238_093_load_camera_bottom.png
94	load_manual	手动输入	v20260521_124238_094_load_manual_top.png	v20260521_124238_094_load_manual_bottom.png
95	load_digits	编号	v20260521_124238_095_load_digits_top.png	v20260521_124238_095_load_digits_bottom.png
96	load_steel_restore	钢板	v20260521_124238_096_load_steel_restore_top.png	v20260521_124238_096_load_steel_restore_bottom.png
97	load_punch_grid	点阵 / 1248	v20260521_124238_097_load_punch_grid_top.png	v20260521_124238_097_load_punch_grid_bottom.png
100	load_sd	文件	v20260521_124238_100_load_sd_top.png	v20260521_124238_100_load_sd_bottom.png
101	load_encrypted_kef	加密备份	v20260521_124238_101_load_encrypted_kef_top.png	v20260521_124238_101_load_encrypted_kef_bottom.png
102	new_mnemonic	创建	v20260521_124238_102_new_mnemonic_top.png	v20260521_124238_102_new_mnemonic_bottom.png
103	new_dice_d6	D6	v20260521_124238_103_new_dice_d6_top.png	v20260521_124238_103_new_dice_d6_bottom.png
104	new_coin_entropy	抛硬币	v20260521_124238_104_new_coin_entropy_top.png	v20260521_124238_104_new_coin_entropy_bottom.png
105	new_dice_d20	D20	v20260521_124238_105_new_dice_d20_top.png	v20260521_124238_105_new_dice_d20_bottom.png
106	new_cards_entropy	扑克牌	v20260521_124238_106_new_cards_entropy_top.png	v20260521_124238_106_new_cards_entropy_bottom.png
107	new_hex_entropy	十六进制	v20260521_124238_107_new_hex_entropy_top.png	v20260521_124238_107_new_hex_entropy_bottom.png
108	new_words_select	手动	v20260521_124238_108_new_words_select_top.png	v20260521_124238_108_new_words_select_bottom.png
109	new_camera_entropy	相机	v20260521_124238_109_new_camera_entropy_top.png	v20260521_124238_109_new_camera_entropy_bottom.png
110	bip39_check_tools	BIP39 自检	v20260521_124238_110_bip39_check_tools_top.png	v20260521_124238_110_bip39_check_tools_bottom.png
111	pi_mnemonic_advanced	高级	v20260521_124238_111_pi_mnemonic_advanced_top.png	v20260521_124238_111_pi_mnemonic_advanced_bottom.png
112	bip85_mnemonic	派生助记词	v20260521_124238_112_bip85_mnemonic_top.png	v20260521_124238_112_bip85_mnemonic_bottom.png
113	tools_secondary_mnemonic	助记词加密	v20260521_124238_113_tools_secondary_mnemonic_top.png	v20260521_124238_113_tools_secondary_mnemonic_bottom.png
114	wallet_home	钱包	v20260521_124238_114_wallet_home_top.png	v20260521_124238_114_wallet_home_bottom.png
115	backup_export	备份	v20260521_124238_115_backup_export_top.png	v20260521_124238_115_backup_export_bottom.png
116	backup_seed_words	序号	v20260521_124238_116_backup_seed_words_top.png	v20260521_124238_116_backup_seed_words_bottom.png
117	backup_entropy	原始熵	v20260521_124238_117_backup_entropy_top.png	v20260521_124238_117_backup_entropy_bottom.png
118	backup_steel_punch	钢板	v20260521_124238_118_backup_steel_punch_top.png	v20260521_124238_118_backup_steel_punch_bottom.png
119	backup_stackbit	1248	v20260521_124238_119_backup_stackbit_top.png	v20260521_124238_119_backup_stackbit_bottom.png
120	backup_grid	点阵板	v20260521_124238_120_backup_grid_top.png	v20260521_124238_120_backup_grid_bottom.png
121	backup_seed_qr	二维码	v20260521_124238_121_backup_seed_qr_top.png	v20260521_124238_121_backup_seed_qr_bottom.png
122	backup_kef	加密备份	v20260521_124238_122_backup_kef_top.png	v20260521_124238_122_backup_kef_bottom.png
123	addresses	地址工具	v20260521_124238_123_addresses_top.png	v20260521_124238_123_addresses_bottom.png
124	addr_receive	收款地址	v20260521_124238_124_addr_receive_top.png	v20260521_124238_124_addr_receive_bottom.png
125	addr_change	找零地址	v20260521_124238_125_addr_change_top.png	v20260521_124238_125_addr_change_bottom.png
126	addr_scan_check	扫码核对地址	v20260521_124238_126_addr_scan_check_top.png	v20260521_124238_126_addr_scan_check_bottom.png
127	addr_qr_view	地址二维码	v20260521_124238_127_addr_qr_view_top.png	v20260521_124238_127_addr_qr_view_bottom.png
128	signing	扫码签名	v20260521_124238_128_signing_top.png	v20260521_124238_128_signing_bottom.png
129	sign_okx	OKX	v20260521_124238_129_sign_okx_top.png	v20260521_124238_129_sign_okx_bottom.png
130	sign_bitget	Bitget	v20260521_124238_130_sign_bitget_top.png	v20260521_124238_130_sign_bitget_bottom.png
131	sign_metamask	MetaMask	v20260521_124238_131_sign_metamask_top.png	v20260521_124238_131_sign_metamask_bottom.png
132	sign_rabby	Rabby	v20260521_124238_132_sign_rabby_top.png	v20260521_124238_132_sign_rabby_bottom.png
133	sign_tokenpocket	TokenPocket	v20260521_124238_133_sign_tokenpocket_top.png	v20260521_124238_133_sign_tokenpocket_bottom.png
134	sign_btc	BTC	v20260521_124238_134_sign_btc_top.png	v20260521_124238_134_sign_btc_bottom.png
135	sign_okx_mnemonic	助记词	v20260521_124238_135_sign_okx_mnemonic_top.png	v20260521_124238_135_sign_okx_mnemonic_bottom.png
136	sign_okx_satochip	智能卡	v20260521_124238_136_sign_okx_satochip_top.png	v20260521_124238_136_sign_okx_satochip_bottom.png
137	sign_bitget_mnemonic	助记词	v20260521_124238_137_sign_bitget_mnemonic_top.png	v20260521_124238_137_sign_bitget_mnemonic_bottom.png
138	sign_bitget_satochip	智能卡	v20260521_124238_138_sign_bitget_satochip_top.png	v20260521_124238_138_sign_bitget_satochip_bottom.png
139	sign_metamask_mnemonic	助记词	v20260521_124238_139_sign_metamask_mnemonic_top.png	v20260521_124238_139_sign_metamask_mnemonic_bottom.png
140	sign_metamask_satochip	智能卡	v20260521_124238_140_sign_metamask_satochip_top.png	v20260521_124238_140_sign_metamask_satochip_bottom.png
141	sign_rabby_mnemonic	助记词	v20260521_124238_141_sign_rabby_mnemonic_top.png	v20260521_124238_141_sign_rabby_mnemonic_bottom.png
142	sign_rabby_satochip	智能卡	v20260521_124238_142_sign_rabby_satochip_top.png	v20260521_124238_142_sign_rabby_satochip_bottom.png
143	sign_tokenpocket_mnemonic	助记词	v20260521_124238_143_sign_tokenpocket_mnemonic_top.png	v20260521_124238_143_sign_tokenpocket_mnemonic_bottom.png
144	sign_tokenpocket_satochip	智能卡	v20260521_124238_144_sign_tokenpocket_satochip_top.png	v20260521_124238_144_sign_tokenpocket_satochip_bottom.png
145	sign_btc_mnemonic	助记词	v20260521_124238_145_sign_btc_mnemonic_top.png	v20260521_124238_145_sign_btc_mnemonic_bottom.png
146	sign_btc_satochip	智能卡	v20260521_124238_146_sign_btc_satochip_top.png	v20260521_124238_146_sign_btc_satochip_bottom.png
147	smartcard_card_info	卡片信息	v20260521_124238_147_smartcard_card_info_top.png	v20260521_124238_147_smartcard_card_info_bottom.png
148	satochip_path_address	派生地址	v20260521_124238_148_satochip_path_address_top.png	v20260521_124238_148_satochip_path_address_bottom.png
149	satochip_btc_zpub	zpub	v20260521_124238_149_satochip_btc_zpub_top.png	v20260521_124238_149_satochip_btc_zpub_bottom.png
150	satochip_btc_xpub	xpub	v20260521_124238_150_satochip_btc_xpub_top.png	v20260521_124238_150_satochip_btc_xpub_bottom.png
151	sign_psbt_qr	扫码签名	v20260521_124238_151_sign_psbt_qr_top.png	v20260521_124238_151_sign_psbt_qr_bottom.png
152	tools_create_qr	生成二维码	v20260521_124238_152_tools_create_qr_top.png	v20260521_124238_152_tools_create_qr_bottom.png
153	tools_qr_capture	扫描二维码	v20260521_124238_153_tools_qr_capture_top.png	v20260521_124238_153_tools_qr_capture_bottom.png
154	tools_file_manager	文件管理	v20260521_124238_154_tools_file_manager_top.png	v20260521_124238_154_tools_file_manager_bottom.png
155	settings_pin	修改PIN	v20260521_124238_155_settings_pin_top.png	v20260521_124238_155_settings_pin_bottom.png
156	settings_display	亮度	v20260521_124238_156_settings_display_top.png	v20260521_124238_156_settings_display_bottom.png
157	settings_camera	相机设置	v20260521_124238_157_settings_camera_top.png	v20260521_124238_157_settings_camera_bottom.png
158	settings_wallet	钱包	v20260521_124238_158_settings_wallet_top.png	v20260521_124238_158_settings_wallet_bottom.png
159	settings_security	安全	v20260521_124238_159_settings_security_top.png	v20260521_124238_159_settings_security_bottom.png
160	device_tests	设备检测	v20260521_124238_160_device_tests_top.png	v20260521_124238_160_device_tests_bottom.png
161	test_screen_touch	屏幕触摸	v20260521_124238_161_test_screen_touch_top.png	v20260521_124238_161_test_screen_touch_bottom.png
162	test_camera	相机检查	v20260521_124238_162_test_camera_top.png	v20260521_124238_162_test_camera_bottom.png
163	test_storage	存储卡检查	v20260521_124238_163_test_storage_top.png	v20260521_124238_163_test_storage_bottom.png
164	test_power	供电检测	v20260521_124238_164_test_power_top.png	v20260521_124238_164_test_power_bottom.png
165	smartcard_probe	检测	v20260521_124238_165_smartcard_probe_top.png	v20260521_124238_165_smartcard_probe_bottom.png
166	system_overview	系统	v20260521_124238_166_system_overview_top.png	v20260521_124238_166_system_overview_bottom.png
167	security_check	安全	v20260521_124238_167_security_check_top.png	v20260521_124238_167_security_check_bottom.png
168	delivery_check	钱包检测	v20260521_124238_168_delivery_check_top.png	v20260521_124238_168_delivery_check_bottom.png
169	load_punch_grid_menu	点阵和1248导入	v20260521_124238_169_load_punch_grid_menu_top.png	v20260521_124238_169_load_punch_grid_menu_bottom.png
170	load_tinyseed_restore	点阵板恢复	v20260521_124238_170_load_tinyseed_restore_top.png	v20260521_124238_170_load_tinyseed_restore_bottom.png
171	load_stackbit_restore	1248恢复	v20260521_124238_171_load_stackbit_restore_top.png	v20260521_124238_171_load_stackbit_restore_bottom.png
172	backup_kef	加密备份文件	v20260521_124238_172_backup_kef_top.png	v20260521_124238_172_backup_kef_bottom.png
